BLDG_ID,SqFtCd,SqFt_est,POS_Landuse,sectorid,POS_StateClass,POS_StateClassCd,center_x,center_y
964,,7178.56554,,0,RESIDENTIAL,A1,-95.3637,29.73973
965,UNDER 5000SF,4203.117221,,0,RESIDENTIAL,A1,-95.3642,29.74066
970,UNDER 5000SF,647.5895874,,0,RESIDENTIAL,A1,-95.375,29.76493
971,UNDER 5000SF,1289.298297,,0,RESIDENTIAL,A1,-95.3757,29.75544
972,UNDER 5000SF,687.117195,,0,RESIDENTIAL,A1,-95.3759,29.75556
974,UNDER 5000SF,827.385148,,0,RESIDENTIAL,A1,-95.3486,29.7563
979,UNDER 5000SF,3065.513212,,0,RESIDENTIAL,A1,-95.356,29.74304
983,UNDER 5000SF,1364.268289,,0,RESIDENTIAL,A1,-95.3578,29.74135
984,UNDER 5000SF,1282.094931,,0,RESIDENTIAL,A1,-95.3576,29.74088
985,UNDER 5000SF,3841.465905,,0,RESIDENTIAL,A1,-95.3585,29.74165
987,UNDER 5000SF,1058.427584,MULTIFAMILY,0,RESIDENTIAL,A1,-95.362,29.73911
988,UNDER 5000SF,1996.801069,,0,RESIDENTIAL,A1,-95.3628,29.73984
999,,6463.22132,,0,RESIDENTIAL,A1,-95.3768,29.7555
1001,UNDER 5000SF,881.7071156,,0,RESIDENTIAL,A1,-95.3781,29.75344
1002,UNDER 5000SF,733.9020087,,0,RESIDENTIAL,A1,-95.3785,29.75718
1014,UNDER 5000SF,718.8071072,,0,RESIDENTIAL,A1,-95.3576,29.74572
1020,UNDER 5000SF,1856.80307,,0,RESIDENTIAL,A1,-95.3615,29.73935
1021,UNDER 5000SF,1832.295475,,0,RESIDENTIAL,A1,-95.3623,29.74147
1022,UNDER 5000SF,2024.772819,,0,RESIDENTIAL,A1,-95.3645,29.74076
1023,UNDER 5000SF,2206.98014,,0,RESIDENTIAL,A1,-95.3685,29.7454
1024,UNDER 5000SF,1860.168525,COMMERCIAL,0,RESIDENTIAL,A1,-95.3701,29.7447
1030,UNDER 5000SF,739.2741778,,0,RESIDENTIAL,A1,-95.3484,29.75636
1035,UNDER 5000SF,1969.719336,COMMERCIAL,0,RESIDENTIAL,A1,-95.3609,29.74064
1038,UNDER 5000SF,2198.468889,,0,RESIDENTIAL,A1,-95.365,29.73865
1041,,5628.255818,,0,RESIDENTIAL,A1,-95.3652,29.74319
1043,,7744.499155,,0,RESIDENTIAL,A1,-95.3664,29.74329
1049,UNDER 5000SF,744.3458976,,0,RESIDENTIAL,A1,-95.3782,29.75719
